date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:04:40	394/394	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Jan%202026%2014:04:41%20GMT	https://odescomplicando.com/robots.txt		(from )
16:04:40	167998/167998	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Jan%202026%2014:04:41%20GMT	https://odescomplicando.com/	C:/My%20Web%20Sites/Profissional/odescomplicando.com/index.html	(from )
16:04:40	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:04:41%20GMT	http://odescomplicando.com/_assets/a0684b0780c739e9.vendor.ltr.css	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/a0684b0780c739e9.vendor.ltr.0.delayed	(from https://odescomplicando.com/)
16:04:40	10359/10359	---MCZ	200	added ('OK')	text/css	date:Fri,%2023%20Jan%202026%2014:04:41%20GMT	https://odescomplicando.com/_assets/a0684b0780c739e9.vendor.ltr.css	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/a0684b0780c739e9.vendor.ltr.css	(from https://odescomplicando.com/)
16:04:40	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:04:42%20GMT	http://odescomplicando.com/_assets/b6f00e114f884420.ltr.css	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/b6f00e114f884420.ltr.css	(from https://odescomplicando.com/)
16:04:41	160452/160452	---MCZ	200	added ('OK')	text/css	date:Fri,%2023%20Jan%202026%2014:04:42%20GMT	https://odescomplicando.com/_assets/b6f00e114f884420.ltr.css	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/b6f00e114f884420.ltr.css	(from https://odescomplicando.com/)
16:04:42	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:04:42%20GMT	http://odescomplicando.com/_assets/static_font_4.ltr.css	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/static_font_4.ltr.css	(from https://odescomplicando.com/)
16:04:42	1506/1506	---MCZ	200	added ('OK')	text/css	date:Fri,%2023%20Jan%202026%2014:04:43%20GMT	https://odescomplicando.com/_assets/static_font_4.ltr.css	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/static_font_4.ltr.css	(from https://odescomplicando.com/)
16:04:42	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:04:43%20GMT	http://odescomplicando.com/_assets/031ce2722000f4e3.runtime.js	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/031ce2722000f4e3.runtime.js	(from https://odescomplicando.com/)
16:04:42	35468/35468	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2023%20Jan%202026%2014:04:43%20GMT	https://odescomplicando.com/_assets/031ce2722000f4e3.runtime.js	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/031ce2722000f4e3.runtime.js	(from https://odescomplicando.com/)
16:04:42	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:04:44%20GMT	http://odescomplicando.com/_assets/c1fefd034e402325.s4le6a.vendor.js	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/c1fefd034e402325.s4le6a.vendor.js	(from https://odescomplicando.com/)
16:04:43	249536/249536	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2023%20Jan%202026%2014:04:44%20GMT	https://odescomplicando.com/_assets/c1fefd034e402325.s4le6a.vendor.js	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/c1fefd034e402325.s4le6a.vendor.js	(from https://odescomplicando.com/)
16:04:44	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:04:44%20GMT	http://odescomplicando.com/_assets/06ccdda9ac6ff279.vendor.js	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/06ccdda9ac6ff279.vendor.js	(from https://odescomplicando.com/)
16:04:44	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:04:46%20GMT	http://odescomplicando.com/_assets/778192951027d318.strings.js	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/778192951027d318.strings.js	(from https://odescomplicando.com/)
16:04:44	451171/451171	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2023%20Jan%202026%2014:04:45%20GMT	https://odescomplicando.com/_assets/06ccdda9ac6ff279.vendor.js	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/06ccdda9ac6ff279.vendor.js	(from https://odescomplicando.com/)
16:04:44	16745/16745	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2023%20Jan%202026%2014:04:46%20GMT	https://odescomplicando.com/_assets/778192951027d318.strings.js	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/778192951027d318.strings.js	(from https://odescomplicando.com/)
